Tgl FJB,No FJB,Kode Cust,Kode Unit Motor,Tahun Kendaraan,Kilometer,Jns Service,Kondisi_Oli,Kondisi_Rem,Bulan_Terakhir_Ganti_Oli,KM_Terakhir_Ganti_Oli,Usia_Kendaraan,Jumlah_Keluhan,KM_Per_Tahun
01-01-2021,FJB/7827/SBY/PL/6394,SBY6028936,XSR 155,2020,10666,Rutin,Kritis,Baik,8,5639,1,0,10666
01-01-2021,FJB/5622/SBY/PL/7143,SBY5246959,NMAX-NEO-S,2020,7662,Repair,Kritis,Baik,9,4581,1,3,7662
01-01-2021,FJB/4323/SBY/PL/7780,SBY3908554,R15,2021,391,Kupon Gratis I (DUA),Kritis,Baik,9,199,0,0,391
01-01-2021,FJB/9684/SBY/PL/9437,SBY7660619,XSR 155,2019,16116,Repair,Perlu Ganti,Perlu Penyetelan,7,2180,2,2,8058
01-01-2021,FJB/4340/SBY/PL/3349,SBY2766567,MIO,2021,139,Repair,Perlu Ganti,Baik,6,31,0,2,139
01-01-2021,FJB/2664/SBY/PL/3907,SBY6984720,FAZZIO-NEO-HY,2020,10263,Rutin,Perlu Ganti,Baik,8,338,1,1,10263
01-01-2021,FJB/4207/SBY/PL/3136,SBY5114733,X-MAX-CONNEC,2020,13156,Rutin,Baik,Baik,2,656,1,1,13156
01-01-2021,FJB/5085/SBY/PL/1672,SBY7817036,ALL-NEW-NMAX,2020,7826,Repair,Kritis,Baik,9,4051,1,2,7826
02-01-2021,FJB/1183/SBY/PL/2257,SBY2773601,NMAX-NEO-S,2019,17263,Rutin,Kritis,Perlu Penyetelan,7,5773,2,0,8631
02-01-2021,FJB/9471/SBY/PL/8917,SBY7084288,NMAX-NEO-S,2019,18127,Repair,Perlu Ganti,Perlu Penyetelan,7,3403,2,2,9063
02-01-2021,FJB/5669/SBY/PL/1302,SBY4894843,ALL-NEW-NMAX,2021,0,Repair,Kritis,Baik,9,0,0,3,0
02-01-2021,FJB/6923/SBY/PL/3841,SBY8627833,MIO,2018,25400,Repair,Perlu Ganti,Perlu Penyetelan,8,3430,3,3,8466
02-01-2021,FJB/5847/SBY/PL/1412,SBY1144834,MIO,2018,25196,Repair,Baik,Perlu Penyetelan,4,414,3,3,8398
02-01-2021,FJB/8467/SBY/PL/8281,SBY1807357,MIO,2021,52,Rutin,Baik,Baik,1,11,0,1,52
02-01-2021,FJB/9298/SBY/PL/8542,SBY4283841,NMAX-NEO-S,2019,19284,Rutin,Baik,Perlu Penyetelan,2,960,2,0,9642
02-01-2021,FJB/1494/SBY/PL/7751,SBY8141896,MIO,2021,0,Rutin,Kritis,Baik,9,0,0,0,0
02-01-2021,FJB/2185/SBY/PL/2210,SBY2257355,FILANO-NEO,2020,5238,Kupon Gratis II (TIGA),Perlu Ganti,Baik,7,1994,1,0,5238
03-01-2021,FJB/6186/SBY/PL/1935,SBY8382694,XSR 155,2019,23657,Repair,Kritis,Perlu Penyetelan,5,3977,2,4,11828
03-01-2021,FJB/7657/SBY/PL/5009,SBY8951359,NMAX-NEO-S,2020,8489,Rutin,Baik,Baik,5,1789,1,0,8489
03-01-2021,FJB/2356/SBY/PL/9273,SBY4214700,ALL-NEW-AEROX,2021,347,Repair,Kritis,Baik,9,128,0,4,347
03-01-2021,FJB/5141/SBY/PL/6854,SBY9786350,XSR 155,2019,14410,Repair,Kritis,Baik,9,2545,2,3,7205
03-01-2021,FJB/2639/SBY/PL/3057,SBY2605905,FAZZIO-NEO-HY,2018,26080,Rutin,Baik,Perlu Penyetelan,3,1891,3,1,8693
03-01-2021,FJB/1692/SBY/PL/9995,SBY2763556,FAZZIO-NEO-HY,2018,22175,Repair,Perlu Ganti,Perlu Penyetelan,5,2925,3,2,7391
03-01-2021,FJB/3309/SBY/PL/4080,SBY7491100,MIO,2018,26441,Repair,Perlu Ganti,Perlu Penyetelan,7,1939,3,3,8813
03-01-2021,FJB/5326/SBY/PL/3641,SBY2058548,X-MAX-CONNEC,2021,278,Repair,Perlu Ganti,Baik,6,9,0,1,278
04-01-2021,FJB/7401/SBY/PL/7558,SBY9721758,MIO-M3 125,2020,8523,Repair,Kritis,Baik,11,3682,1,2,8523
04-01-2021,FJB/9141/SBY/PL/3374,SBY1498316,ALL-NEW-AEROX,2020,12997,Kupon Gratis I (DUA),Kritis,Baik,11,1616,1,0,12997
04-01-2021,FJB/4679/SBY/PL/1373,SBY7744707,ALL-NEW-NMAX,2019,13831,Repair,Baik,Baik,4,874,2,2,6915
04-01-2021,FJB/3199/SBY/PL/5486,SBY6734999,ALL-NEW-NMAX,2021,41,Rutin,Baik,Baik,3,4,0,1,41
04-01-2021,FJB/9045/SBY/PL/1839,SBY5306594,NMAX-NEO-S,2020,7179,Kupon Gratis I (DUA),Perlu Ganti,Baik,7,1883,1,0,7179
04-01-2021,FJB/3639/SBY/PL/9525,SBY5365603,VIXION,2020,6368,Repair,Kritis,Baik,9,5747,1,2,6368
05-01-2021,FJB/7322/SBY/PL/8213,SBY1145487,ALL-NEW-AEROX,2019,19847,Rutin,Baik,Perlu Penyetelan,2,1257,2,0,9923
05-01-2021,FJB/5872/SBY/PL/7474,SBY5944263,XSR 155,2019,16840,Repair,Kritis,Perlu Penyetelan,7,4033,2,4,8420
06-01-2021,FJB/7390/SBY/PL/5653,SBY1087733,FILANO-NEO,2019,16190,Repair,Kritis,Perlu Penyetelan,11,3549,2,4,8095
06-01-2021,FJB/9078/SBY/PL/2187,SBY3583287,MIO,2020,5878,Repair,Kritis,Baik,8,5187,1,4,5878
06-01-2021,FJB/9346/SBY/PL/8252,SBY8131419,NMAX-NEO-S,2020,15726,Repair,Kritis,Baik,11,5074,1,2,15726
06-01-2021,FJB/9193/SBY/PL/7632,SBY2064709,MIO,2019,23277,Rutin,Baik,Perlu Penyetelan,2,15,2,0,11638
06-01-2021,FJB/1083/SBY/PL/8660,SBY8836929,NMAX-NEO-S,2020,12336,Repair,Kritis,Baik,9,4749,1,1,12336
06-01-2021,FJB/6249/SBY/PL/9116,SBY6720237,X-MAX-CONNEC,2021,0,Rutin,Baik,Baik,2,0,0,0,0
06-01-2021,FJB/2858/SBY/PL/9965,SBY8933108,MIO,2018,33670,Repair,Kritis,Perlu Penggantian,10,7718,3,3,11223
06-01-2021,FJB/6750/SBY/PL/7942,SBY3194953,R15,2021,312,Rutin,Kritis,Baik,10,270,0,0,312
06-01-2021,FJB/6606/SBY/PL/7016,SBY7963386,R15,2019,20389,Repair,Kritis,Perlu Penyetelan,11,4153,2,3,10194
06-01-2021,FJB/7598/SBY/PL/3449,SBY2340255,MT-15,2021,242,Rutin,Baik,Baik,4,2,0,0,242
07-01-2021,FJB/7973/SBY/PL/5145,SBY5706946,NMAX-NEO-S,2020,12294,Kupon Gratis I (DUA),Kritis,Baik,10,4466,1,0,12294
07-01-2021,FJB/7466/SBY/PL/3725,SBY9477963,NMAX-NEO-S,2019,18899,Repair,Kritis,Perlu Penyetelan,12,3593,2,2,9449
07-01-2021,FJB/2448/SBY/PL/9845,SBY7316603,X-MAX-CONNEC,2020,15693,Rutin,Kritis,Baik,6,3872,1,0,15693
07-01-2021,FJB/3365/SBY/PL/7054,SBY8731279,NMAX-NEO-S,2018,22863,Rutin,Perlu Ganti,Perlu Penyetelan,6,841,3,0,7621
07-01-2021,FJB/2887/SBY/PL/8858,SBY4380187,MIO,2018,35872,Repair,Kritis,Perlu Penggantian,9,2601,3,2,11957
07-01-2021,FJB/4806/SBY/PL/6538,SBY3500302,ALL-NEW-NMAX,2019,13494,Rutin,Kritis,Baik,4,3548,2,0,6747
07-01-2021,FJB/8806/SBY/PL/7001,SBY8464583,ALL-NEW-NMAX,2021,0,Repair,Kritis,Baik,9,0,0,3,0
07-01-2021,FJB/7611/SBY/PL/8691,SBY1285289,FILANO-NEO,2018,28444,Repair,Kritis,Perlu Penggantian,9,5470,3,3,9481
08-01-2021,FJB/1722/SBY/PL/6384,SBY3053086,LEXI,2018,26318,Rutin,Baik,Perlu Penyetelan,2,2144,3,0,8772
08-01-2021,FJB/1637/SBY/PL/2272,SBY3668092,ALL-NEW-NMAX,2021,0,Jual Part,Perlu Ganti,Baik,8,0,0,0,0
08-01-2021,FJB/1940/SBY/PL/8144,SBY9558342,LEXI,2020,10143,Rutin,Baik,Baik,4,1594,1,0,10143
08-01-2021,FJB/5899/SBY/PL/9642,SBY4764659,MIO,2018,25220,Repair,Kritis,Perlu Penyetelan,5,3953,3,4,8406
08-01-2021,FJB/1945/SBY/PL/3086,SBY3293863,R15,2021,0,Repair,Perlu Ganti,Baik,8,0,0,2,0
08-01-2021,FJB/7082/SBY/PL/5756,SBY1106833,MIO,2020,7569,Kupon Gratis III (TIGA),Kritis,Baik,12,6284,1,1,7569
08-01-2021,FJB/4821/SBY/PL/8970,SBY2152449,LEXI,2019,21181,Repair,Kritis,Perlu Penyetelan,12,9550,2,3,10590
08-01-2021,FJB/9322/SBY/PL/9559,SBY4509111,XSR 155,2021,0,Repair,Kritis,Baik,12,0,0,3,0
08-01-2021,FJB/8633/SBY/PL/2930,SBY1046317,FREE-GO-S,2019,18823,Repair,Baik,Perlu Penyetelan,1,185,2,2,9411
08-01-2021,FJB/9246/SBY/PL/9939,SBY8172604,X-MAX-CONNEC,2018,29576,Repair,Kritis,Perlu Penggantian,9,5709,3,3,9858
08-01-2021,FJB/6327/SBY/PL/5196,SBY8008254,MIO-M3 125,2020,5903,Rutin,Baik,Baik,2,392,1,0,5903
08-01-2021,FJB/5806/SBY/PL/2164,SBY5112928,ALL-NEW-NMAX,2019,19366,Repair,Kritis,Perlu Penyetelan,7,4279,2,4,9683
09-01-2021,FJB/3981/SBY/PL/3128,SBY8873229,LEXI,2019,17909,Repair,Kritis,Perlu Penyetelan,7,6118,2,3,8954
09-01-2021,FJB/8453/SBY/PL/1099,SBY9555535,VIXION,2021,135,Kupon Gratis II (TIGA),Baik,Baik,1,84,0,0,135
09-01-2021,FJB/4444/SBY/PL/8092,SBY7483130,FAZZIO-NEO-HY,2018,22765,Repair,Kritis,Perlu Penyetelan,12,8781,3,2,7588
10-01-2021,FJB/8680/SBY/PL/6360,SBY1573952,ALL-NEW-AEROX,2020,14748,Repair,Kritis,Baik,10,7795,1,3,14748
10-01-2021,FJB/7611/SBY/PL/1499,SBY7937776,NMAX-NEO-S,2021,0,Repair,Kritis,Baik,12,0,0,1,0
10-01-2021,FJB/5638/SBY/PL/1935,SBY3790650,MT-15,2020,13017,Rutin,Baik,Baik,3,1457,1,0,13017
10-01-2021,FJB/3770/SBY/PL/2824,SBY8037902,X-MAX-CONNEC,2019,28959,Repair,Baik,Perlu Penggantian,2,1419,2,3,14479
10-01-2021,FJB/4445/SBY/PL/5088,SBY2371933,ALL-NEW-NMAX,2021,167,Rutin,Perlu Ganti,Baik,8,128,0,0,167
10-01-2021,FJB/6152/SBY/PL/2491,SBY2853549,FREE-GO-S,2021,0,Rutin,Perlu Ganti,Baik,8,0,0,1,0
10-01-2021,FJB/7101/SBY/PL/3049,SBY3140935,MT-15,2020,10381,Rutin,Baik,Baik,1,1018,1,0,10381
11-01-2021,FJB/3351/SBY/PL/2091,SBY6966316,X-MAX-CONNEC,2019,21910,Repair,Kritis,Perlu Penyetelan,11,7895,2,3,10955
11-01-2021,FJB/4129/SBY/PL/8961,SBY6278917,LEXI,2019,15513,Repair,Kritis,Baik,10,3351,2,3,7756
11-01-2021,FJB/2537/SBY/PL/9793,SBY5912971,MT-15,2018,22187,Repair,Kritis,Perlu Penyetelan,12,7851,3,3,7395
11-01-2021,FJB/4371/SBY/PL/2879,SBY7483030,FREE-GO-S,2021,0,Rutin,Kritis,Baik,12,0,0,0,0
