Kode Unit Motor,Tahun Kendaraan,Kilometer,Usia_Kendaraan,Kondisi_Oli,Kondisi_Rem,KM_Terakhir_Ganti_Oli,Bulan_Terakhir_Ganti_Oli,KM_Per_Tahun,Jumlah_Keluhan,Jns Service
4,2018,20900,3,0,2,384,1,6966,2,0
2,2018,18528,3,2,2,446,8,6176,2,0
9,2018,28544,3,1,1,4678,9,9514,4,0
9,2018,25309,3,2,2,2909,7,8436,0,1
7,2019,53324,5,1,1,1454,11,10664,4,0
0,2019,75065,5,0,1,1421,3,15013,2,0
9,2023,12246,1,1,0,776,11,12246,0,1
2,2021,174,0,0,0,154,2,174,0,1
4,2022,5239,1,0,0,1337,3,5239,0,1
9,2019,80128,5,1,1,3159,9,16025,4,0
7,2021,10072,1,0,0,747,1,10072,0,1
2,2018,18310,3,1,2,1944,12,6103,3,0
9,2018,75456,6,2,1,2834,3,12576,3,0
10,2020,26593,3,2,2,2389,2,8864,1,0
9,2021,24510,2,0,2,852,3,12255,1,0
9,2018,40994,5,1,1,6398,10,8198,0,1
4,2020,25506,4,1,1,5876,11,6376,4,0
6,2023,10068,1,1,0,4655,9,10068,1,1
6,2020,8290,1,0,0,579,1,8290,0,1
1,2020,17279,3,0,2,2008,3,5759,1,1
6,2019,48973,4,1,1,131,12,12243,2,0
0,2018,39769,4,1,1,4926,7,9942,2,0
9,2019,17729,2,2,2,421,6,8864,1,1
9,2019,24309,2,1,2,1102,12,12154,2,0
9,2023,12784,1,0,0,1133,2,12784,0,1
5,2021,31098,3,1,1,5392,8,10366,3,0
5,2022,0,0,0,0,0,1,0,0,1
5,2024,0,0,0,0,0,3,0,1,1
6,2018,19007,3,0,2,1303,3,6335,3,0
9,2018,26673,3,0,2,729,3,8891,0,1
8,2023,7816,1,2,0,1967,6,7816,0,1
7,2020,10754,1,1,0,5459,7,10754,0,1
13,2020,27956,2,1,2,885,12,13978,4,0
7,2018,37589,4,2,1,2805,3,9397,3,0
12,2020,25426,2,1,2,6313,12,12713,2,0
6,2023,0,0,0,0,0,3,0,0,1
9,2019,35869,3,1,1,4945,11,11956,0,1
2,2020,6356,1,1,0,1271,11,6356,2,0
8,2022,27850,2,1,2,7291,12,13925,4,0
6,2018,32794,5,0,1,200,5,6558,2,0
